xvals,yvals,upper,lower,factor,group,period,first_year,last_year
8.7,1.63252068949074,3.31821634926566,-0.0531749702841733,eci,OPEC,1990 - 2016,1990,2016
8.8,1.58691474992727,3.27657053721606,-0.102741037361519,eci,OPEC,1990 - 2016,1990,2016
8.9,1.54130881036273,3.23549758771724,-0.152879966991778,eci,OPEC,1990 - 2016,1990,2016
9,1.49570287079823,3.19500133784734,-0.203595596250875,eci,OPEC,1990 - 2016,1990,2016
9.1,1.45009693123361,3.15506825600094,-0.254874393533727,eci,OPEC,1990 - 2016,1990,2016
9.2,1.40449099166878,3.11570023679588,-0.306718253458334,eci,OPEC,1990 - 2016,1990,2016
9.3,1.35888505210399,3.07688675861224,-0.359116654404271,eci,OPEC,1990 - 2016,1990,2016
9.4,1.31327911253953,3.03861805335314,-0.41205982827409,eci,OPEC,1990 - 2016,1990,2016
9.5,1.26767317297511,3.00089624731062,-0.4655499013604,eci,OPEC,1990 - 2016,1990,2016
9.6,1.22206723341024,2.96370833929767,-0.519573872477201,eci,OPEC,1990 - 2016,1990,2016
9.7,1.17646129384569,2.9270452592015,-0.574122671510111,eci,OPEC,1990 - 2016,1990,2016
9.8,1.13085535428111,2.89089930323197,-0.629188594669748,eci,OPEC,1990 - 2016,1990,2016
9.9,1.0852494147164,2.85526911214256,-0.684770282709754,eci,OPEC,1990 - 2016,1990,2016
10,1.03964347515166,2.82013424120526,-0.740847290901954,eci,OPEC,1990 - 2016,1990,2016
10.1,0.994037535587196,2.7854981821599,-0.797423110985505,eci,OPEC,1990 - 2016,1990,2016
10.2,0.948431596022881,2.75134319749949,-0.854480005453732,eci,OPEC,1990 - 2016,1990,2016
10.3,0.902825656457926,2.71766475788438,-0.91201344496853,eci,OPEC,1990 - 2016,1990,2016
10.4,0.857219716893343,2.68445159967396,-0.970012165887277,eci,OPEC,1990 - 2016,1990,2016
10.5,0.811613777328987,2.65169107129036,-1.02846351663238,eci,OPEC,1990 - 2016,1990,2016
10.6,0.766007837763867,2.61938309579177,-1.08736742026404,eci,OPEC,1990 - 2016,1990,2016
10.7,0.720401898199346,2.58750971069423,-1.14670591429554,eci,OPEC,1990 - 2016,1990,2016
10.8,0.674795958634866,2.55606279154614,-1.2064708742764,eci,OPEC,1990 - 2016,1990,2016
10.9,0.629190019069953,2.52503410049176,-1.26665406235185,eci,OPEC,1990 - 2016,1990,2016
11,0.58358407950572,2.49441179985765,-1.32724364084621,eci,OPEC,1990 - 2016,1990,2016
11.1,0.537978139940621,2.46419219331974,-1.3882359134385,eci,OPEC,1990 - 2016,1990,2016
11.2,0.492372200376079,2.4343615044839,-1.44961710373174,eci,OPEC,1990 - 2016,1990,2016
11.3,0.446766260811455,2.4049086250508,-1.51137610342789,eci,OPEC,1990 - 2016,1990,2016
11.4,0.401160321247119,2.37582672005406,-1.57350607755982,eci,OPEC,1990 - 2016,1990,2016
11.5,0.355554381682515,2.34710783794164,-1.6359990745766,eci,OPEC,1990 - 2016,1990,2016
11.6,0.309948442117891,2.31874090016029,-1.69884401592451,eci,OPEC,1990 - 2016,1990,2016
11.7,0.264342502552967,2.29071577739985,-1.76203077229392,eci,OPEC,1990 - 2016,1990,2016
11.8,0.218736562988642,2.26302658248617,-1.82555345650889,eci,OPEC,1990 - 2016,1990,2016
11.9,0.173130623423925,2.23566411937688,-1.88940287252904,eci,OPEC,1990 - 2016,1990,2016
12,0.127524683859259,2.20861934509352,-1.953569977375,eci,OPEC,1990 - 2016,1990,2016
6,1.03798757406995,2.28212631910009,-0.206151170960194,eci,No OPEC,1991 - 2016,1991,2016
6.1,0.998875489256591,2.21467546916162,-0.216924490648435,eci,No OPEC,1991 - 2016,1991,2016
6.2,0.959763404443342,2.14739774686223,-0.22787093797555,eci,No OPEC,1991 - 2016,1991,2016
6.3,0.920651319629797,2.08029973120112,-0.238997091941523,eci,No OPEC,1991 - 2016,1991,2016
6.4,0.881539234816528,2.01337836360184,-0.250299893968788,eci,No OPEC,1991 - 2016,1991,2016
